Releve	Paired	Study	Light	Temp	Cont	Moist	pH	Nutr
1	1	1	5.56	5.50	4.18	7.79	6.33	6.60
2	2	1	5.42	5.38	4.21	8.17	6.33	5.44
3	3	1	6.35	5.46	4.27	7.87	6.10	6.19
4	4	1	6.11	5.53	3.95	7.86	6.29	5.92
5	5	1	6.29	5.40	3.70	8.00	6.40	6.36
6	6	1	6.33	5.36	3.18	7.14	6.13	6.20
7	7	1	5.83	5.25	4.14	8.18	6.11	5.82
8	8	1	6.00	5.50	3.40	7.67	6.33	6.67
9	9	1	6.19	5.47	3.44	7.59	6.42	6.30
10	10	1	6.00	5.38	3.59	7.59	6.58	6.71
11	11	1	6.00	5.42	4.00	8.24	6.15	5.61
12	12	1	5.38	5.44	3.67	7.59	6.24	6.48
13	13	1	5.93	5.00	3.36	6.77	6.43	6.14
14	14	1	5.80	5.80	4.00	6.86	5.00	5.17
15	15	1	5.36	5.20	3.56	6.50	5.00	4.88
16	16	1	6.22	5.20	3.63	7.78	6.60	6.00
17	1'	2	6.35	5.58	3.75	8.92	6.17	5.92
18	2'	2	6.21	5.47	3.89	8.90	6.29	5.71
19	3'	2	6.58	5.65	3.80	9.11	6.00	5.25
20	4'	2	6.13	5.43	3.17	10.00	6.33	5.86
21	5'	2	6.05	5.69	4.13	7.94	5.92	5.90
22	6'	2	6.48	5.56	3.84	8.52	5.69	5.70
23	7'	2	6.56	5.44	3.88	8.74	6.13	6.10
24	8'	2	6.44	5.60	4.00	9.38	6.27	5.73
25	9'	2	6.31	5.50	3.30	9.33	6.30	6.08
26	10'	2	6.55	5.50	3.73	9.06	6.50	6.47
27	11'	2	6.30	5.43	3.50	9.10	6.50	6.30
28	12'	2	6.57	5.50	3.50	9.91	6.42	6.10
29	13'	2	6.39	5.53	3.85	9.29	6.33	6.00
30	14'	2	6.28	5.54	3.54	9.06	6.07	5.57
31	15'	2	6.39	5.56	3.71	9.44	6.25	5.86
32	16'	2	6.17	5.53	4.00	8.74	6.00	5.48
