	Alnus glutinosa	Bilderdykia convolvulus	Calamagrostis canescens	Carex elongata	Fraxinus excelsior	Impatiens parviflora	Myosoton aquaticum	Phragmites australis	Ribes nigrum	Ribes spicatum	Rubus idaeus	Sambucus nigra	Sorbus aucuparia	Thelypteris palustris	Ulmus laevis	Urtica dioica	Rubus species	Carex elata ssp. elata	Acer pseudoplatanus	Athyrium filix-femina	Carex paniculata	Deschampsia caespitosa	Equisetum sylvaticum	Galium aparine	Galium palustre	Impatiens noli-tangere	Peucedanum palustre	Prunus padus	Quercus robur	Scutellaria galericulata	Calamagrostis epigeios	Carduus crispus	Cirsium arvense	Cirsium palustre	Frangula alnus	Iris pseudacorus	Lycopus europaeus	Dryopteris dilatata	Agrostis stolonifera	Carex acutiformis	Eupatorium cannabinum	Humulus lupulus	Lythrum salicaria	Moehringia trinervia	Stachys sylvatica	Viola reichenbachiana	Rorippa species	Bidens frondosa	Glyceria fluitans	Oenanthe aquatica	Polygonum hydropiper	Rumex species	Cirsium vulgare	Galeopsis tetrahit	Betula pendula	Festuca gigantea	Geum urbanum	Lychnis flos-cuculi	Poa trivialis	Salix cinerea	Solanum dulcamara	Sparganium erectum	Stellaria media	Salix species	Dryopteris carthusiana	Galeopsis pubescens	Rubus caesius	Rorippa amphibia	Equisetum palustre	Milium effusum	Molinia caerulea	Calamagrostis arundinacea	Polygonatum multiflorum	Agrostis capillaris	Agrostis canina	Carex pseudocyperus	Hottonia palustris	Hydrocharis morsus-ranae	Lemna minor	Lemna trisulca	Lysimachia vulgaris	Lysimachia thyrsiflora	Stellaria nemorum	Juncus effusus	Rumex hydrolapathum	Stratiotes aloides	Carex species	Bidens cernua	Calla palustris	Carex ovalis	Carpinus betulus	Circaea lutetiana	Maianthemum bifolium	Ranunculus repens	Rhamnus catharticus	Ulmus minor	Erechtites hieracifolia	Rorippa islandica	Glyceria maxima	Mentha aquatica	Picea abies	Typha latifolia	Epilobium species	Ulmus species	Carex riparia	Spirodela polyrhiza
1	39.24	2	3	2	3.96	2	2	13	2	2	3	2	2	3	3.96	13	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	69.58	0	3	3	0	0	0	13	2	0	2	0	0	2	0	38	2	0	2	2	2	3	3	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	15.61	2	13	0	0	0	3	2	2	0	3	0	0	0	0	3	0	0	0	0	0	13	0	2	0	0	0	0	0	0	38	2	2	3	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	39.24	2	2	2	0	2	2	13	3	0	0	0	2	3	0	13	0	13	0	0	2	3	0	2	3	0	3	0	0	2	0	2	0	2	0	0	0	0	3	2	2	2	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	68	0	0	0	0	0	0	2	0	0	0	2	0	0	0	13	0	0	2	0	0	2	0	0	2	2	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	2	2	2	38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	39.24	2	2	0	0	0	2	0	0	0	38	0	0	0	0	38	0	0	0	2	0	3	0	3	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	38	0	0	0	0	0	0	38	2	2	13	0	0	2	0	13	0	0	0	0	0	2	0	2	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	88	0	2	0	0	0	0	0	0	0	3	0	0	0	0	3	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	39.86	2	2	0	0	0	0	0	2	0	0	0	0	0	0	68	2	2	0	0	0	2	0	3	2	0	0	3	0	0	0	2	0	0	0	2	0	0	0	2	2	2	0	0	0	0	0	2	0	0	3	1	0	2	0	2	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	39.86	2	0	1	2	3	2	0	2	0	0	3	0	0	2	38	0	3	0	0	0	2	0	13	0	0	0	13	0	0	0	0	0	0	0	2	0	0	0	1	2	3	0	2	0	0	0	0	0	0	1	2	1	0	0	2	1	0	13	2	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
11	39.86	0	0	0	0	0	0	3	2	0	0	0	2	3	2	13	2	3	0	0	0	3	0	2	2	0	3	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	39.86	0	0	3	2	2	2	0	2	0	0	0	2	0	2	38	0	3	2	0	0	2	0	0	3	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	2	2	0	0	0	0	0	2	0	0	0	0	2	2	0	3	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	38	0	0	0	0	0	2	0	0	0	38	0	0	0	0	38	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	0	13	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
